event_id,frame,edge_type,action,i,j,distance,threshold_form,threshold_break
1,4,slab,form,486,487,1.6303387797125184,2.3895000000000004,2.7435
2,4,slab,form,153,529,1.5816088119383263,2.3895000000000004,2.7435
3,4,slab,form,33,34,1.6311311256195,2.3895000000000004,2.7435
4,4,slab,form,141,274,1.6490146199589202,2.3895000000000004,2.7435
5,4,slab,form,316,318,1.6430509862026443,2.3895000000000004,2.7435
6,4,slab,form,378,539,1.5995796915795821,2.3895000000000004,2.7435
7,4,slab,form,200,204,1.6137527490209975,2.3895000000000004,2.7435
8,4,slab,form,101,104,1.637108369888095,2.3895000000000004,2.7435
9,4,slab,form,208,553,1.6310705688371459,2.3895000000000004,2.7435
10,4,slab,form,364,508,1.6062612528348923,2.3895000000000004,2.7435
11,4,slab,form,451,453,1.6998089432561978,2.3895000000000004,2.7435
12,4,slab,form,200,572,1.662938693822658,2.3895000000000004,2.7435
13,4,slab,form,136,139,1.6238867239323524,2.3895000000000004,2.7435
14,4,slab,form,206,347,1.6461700975248097,2.3895000000000004,2.7435
15,4,slab,form,202,356,1.583154088133371,2.3895000000000004,2.7435
16,4,slab,form,255,399,1.6288633986428247,2.3895000000000004,2.7435
17,4,slab,form,461,462,1.662742274045124,2.3895000000000004,2.7435
18,4,slab,form,208,209,1.6099028444367374,2.3895000000000004,2.7435
19,4,slab,form,491,493,1.7033882289632003,2.3895000000000004,2.7435
20,4,slab,form,464,545,1.6330896648021294,2.3895000000000004,2.7435
21,4,slab,form,302,462,1.6640950741793663,2.3895000000000004,2.7435
22,4,covalent,form,592,594,1.199523987606545,1.2305,1.3375000000000001
23,4,slab,form,473,540,1.6289606122318658,2.3895000000000004,2.7435
24,4,slab,form,202,204,1.6362321911798523,2.3895000000000004,2.7435
25,4,slab,form,469,471,1.629376500783854,2.3895000000000004,2.7435
26,4,slab,form,466,542,1.6462047631753896,2.3895000000000004,2.7435
27,4,slab,form,18,558,1.5996403211573578,2.3895000000000004,2.7435
28,4,slab,form,336,490,1.601898150780131,2.3895000000000004,2.7435
29,4,slab,form,57,251,1.6758393538924032,2.3895000000000004,2.7435
30,4,slab,form,335,428,3.066890356994447,3.1320000000000006,3.5960000000000005
31,4,slab,form,310,312,1.6603079264395666,2.3895000000000004,2.7435
32,4,slab,form,35,539,1.6573448149525032,2.3895000000000004,2.7435
33,4,slab,form,404,539,1.658993778735729,2.3895000000000004,2.7435
34,4,slab,form,322,447,1.5990096388976485,2.3895000000000004,2.7435
35,4,slab,form,304,306,1.6396929134952405,2.3895000000000004,2.7435
36,4,slab,form,140,144,1.6670241943851973,2.3895000000000004,2.7435
37,4,slab,form,151,154,1.5916350044432919,2.3895000000000004,2.7435
38,4,slab,form,433,435,1.6496544038374352,2.3895000000000004,2.7435
39,4,slab,form,30,538,1.6367500892116298,2.3895000000000004,2.7435
40,4,slab,form,56,271,1.634084178828179,2.3895000000000004,2.7435
41,4,slab,form,282,283,1.6278971298929124,2.3895000000000004,2.7435
42,4,slab,form,65,552,1.6031213363909822,2.3895000000000004,2.7435
43,4,slab,form,77,79,1.5867540329797465,2.3895000000000004,2.7435
44,4,slab,form,112,114,1.6745814380142996,2.3895000000000004,2.7435
45,4,slab,form,423,425,1.5990386608280993,2.3895000000000004,2.7435
