event_id,frame,type,reactants,products,delta_counts,evidence_bonds,confidence
739,9,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 34, ""j"": 260, ""distance"": 2.981096257012787, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 134, ""j"": 541, ""distance"": 2.9685947697103288, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 139, ""j"": 540, ""distance"": 2.9699909752255387, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 239, ""j"": 363, ""distance"": 2.9363715431402624, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 179, ""j"": 303, ""distance"": 2.9066510908327166, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
743,11,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 194, ""j"": 350, ""distance"": 2.984565827798997, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 505, ""j"": 571, ""distance"": 2.9347153932357255, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 69, ""j"": 321, ""distance"": 2.891983924863521, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
748,12,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 502, ""j"": 570, ""distance"": 2.9463365069451446, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 99, ""j"": 562, ""distance"": 2.9787880238451643, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 234, ""j"": 361, ""distance"": 2.9908167397119785, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 64, ""j"": 318, ""distance"": 2.928888422169423, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
754,13,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 169, ""j"": 299, ""distance"": 2.975030379987556, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 129, ""j"": 569, ""distance"": 2.8986292307409975, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 260, ""j"": 419, ""distance"": 2.94512941969596, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 184, ""j"": 546, ""distance"": 2.913775546050887, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 19, ""j"": 531, ""distance"": 2.94230071306931, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
759,14,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 257, ""j"": 410, ""distance"": 2.9602442305529726, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 403, ""j"": 538, ""distance"": 2.9854674856897727, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 508, ""j"": 564, ""distance"": 2.906071132345092, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 399, ""j"": 574, ""distance"": 2.9721923029611785, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
763,15,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 382, ""j"": 528, ""distance"": 2.975934387751705, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 214, ""j"": 338, ""distance"": 2.9805385135665228, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 154, ""j"": 529, ""distance"": 2.9424623001549324, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
770,16,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 9, ""j"": 556, ""distance"": 2.9834359637956265, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 94, ""j"": 312, ""distance"": 2.9936249623221323, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 511, ""j"": 565, ""distance"": 2.9833947381809263, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 174, ""j"": 301, ""distance"": 2.8602610723082247, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 309, ""j"": 505, ""distance"": 2.925172859452962, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 483, ""j"": 560, ""distance"": 2.988030070869529, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
774,17,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 79, ""j"": 534, ""distance"": 2.9823292493110882, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 443, ""j"": 554, ""distance"": 2.8860810719106893, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 407, ""j"": 539, ""distance"": 2.9642073608987802, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
779,19,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 159, ""j"": 283, ""distance"": 2.9841162344846746, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 453, ""j"": 549, ""distance"": 2.991728644267839, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 204, ""j"": 552, ""distance"": 2.9773809618197777, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 450, ""j"": 544, ""distance"": 2.987474102732617, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
786,20,surface_reconstruct,[],[],{},"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 479, ""j"": 549, ""distance"": 2.9675775889567677, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 109, ""j"": 309, ""distance"": 2.9666187314850236, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 502, ""j"": 566, ""distance"": 2.9771079355877066, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 224, ""j"": 568, ""distance"": 2.965445253373214, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 333, ""j"": 431, ""distance"": 2.9915041197567094, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 164, ""j"": 297, ""distance"": 2.9021558045965743, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]",
