frame,n_components,species,counts,components,ads_pairs,geometric_site_assignments,active_site_roles,active_site_ids,active_site_summaries,is_active_site_owned,is_active_site_associated,active_site_memberships
0,21,"[""C|smiles=[C]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""O|smiles=[O]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]""]","{""C|smiles=[C]"": 8, ""O|smiles=[O]"": 1, ""H|smiles=[H]"": 12}","[[577], [578], [579], [580], [581], [582], [583], [584], [585], [586], [587], [588], [589], [590], [591], [592], [593], [594], [595], [596], [597]]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none""]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
1,21,"[""C|smiles=[C]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""O|smiles=[O]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]""]","{""C|smiles=[C]"": 8, ""O|smiles=[O]"": 1, ""H|smiles=[H]"": 12}","[[577], [578], [579], [580], [581], [582], [583], [584], [585], [586], [587], [588], [589], [590], [591], [592], [593], [594], [595], [596], [597]]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none""]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
2,21,"[""C|smiles=[C]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""O|smiles=[O]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]""]","{""C|smiles=[C]"": 8, ""O|smiles=[O]"": 1, ""H|smiles=[H]"": 12}","[[577], [578], [579], [580], [581], [582], [583], [584], [585], [586], [587], [588], [589], [590], [591], [592], [593], [594], [595], [596], [597]]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none""]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
3,21,"[""C|smiles=[C]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""O|smiles=[O]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""C|smiles=[C]"", ""C|smiles=[C]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]"", ""H|smiles=[H]""]","{""C|smiles=[C]"": 8, ""O|smiles=[O]"": 1, ""H|smiles=[H]"": 12}","[[577], [578], [579], [580], [581], [582], [583], [584], [585], [586], [587], [588], [589], [590], [591], [592], [593], [594], [595], [596], [597]]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null]","[""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none"", ""none""]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false, false]","[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]"
4,2,"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"", ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]""]","{""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"": 1, ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]"": 1}","[[577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591], [592, 593, 594, 595, 596, 597]]","[[], []]","[null, null]","[""none"", ""none""]","[[], []]","[[], []]","[false, false]","[false, false]","[[], []]"
5,2,"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"", ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]""]","{""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"": 1, ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]"": 1}","[[577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591], [592, 593, 594, 595, 596, 597]]","[[], []]","[null, null]","[""none"", ""none""]","[[], []]","[[], []]","[false, false]","[false, false]","[[], []]"
6,2,"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"", ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]""]","{""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"": 1, ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]"": 1}","[[577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591], [592, 593, 594, 595, 596, 597]]","[[], []]","[null, null]","[""none"", ""none""]","[[], []]","[[], []]","[false, false]","[false, false]","[[], []]"
7,2,"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"", ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]""]","{""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"": 1, ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]"": 1}","[[577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591], [592, 593, 594, 595, 596, 597]]","[[], []]","[null, null]","[""none"", ""none""]","[[], []]","[[], []]","[false, false]","[false, false]","[[], []]"
8,2,"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"", ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]""]","{""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"": 1, ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]"": 1}","[[577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591], [592, 593, 594, 595, 596, 597]]","[[], []]","[null, null]","[""none"", ""none""]","[[], []]","[[], []]","[false, false]","[false, false]","[[], []]"
9,2,"[""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"", ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]""]","{""C6H8O|smiles=[H][CH]1[CH]([H])[CH]([C]([H])([H])[H])[O][CH]1[C]([H])([H])[H]"": 1, ""C2H4|smiles=[H][CH]([H])[CH]([H])[H]"": 1}","[[577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 588, 589, 590, 591], [592, 593, 594, 595, 596, 597]]","[[], []]","[null, null]","[""none"", ""none""]","[[], []]","[[], []]","[false, false]","[false, false]","[[], []]"
