frame,site_id,site_family,site_state_before,site_state_after,site_changed,has_transform,transform_event_ids,transform_types,transform_reactants,transform_products,associated_species_before,associated_species_after,coupling_type,link_strength,evidence_bonds
96,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[1084],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 199, ""j"": 353, ""distance"": 2.9125411525365736, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 149, ""j"": 289, ""distance"": 2.987383861601651, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 79, ""j"": 335, ""distance"": 3.25285055208931, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 338, ""j"": 428, ""distance"": 3.225249119861555, ""threshold_form"": 3.1320000000000006, ""threshold_break"": 3.5960000000000005}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 410, ""j"": 556, ""distance"": 3.16193873059872, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 338, ""j"": 576, ""distance"": 3.1207386896861653, ""threshold_form"": 3.1455, ""threshold_break"": 3.6115000000000004}]"
287,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[1818],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 471, ""j"": 543, ""distance"": 3.134484538069082, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 337, ""j"": 576, ""distance"": 3.0101746689550373, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 149, ""j"": 289, ""distance"": 3.156019133679572, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
308,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[1917],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 483, ""j"": 542, ""distance"": 3.122646006687466, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 337, ""j"": 576, ""distance"": 2.3229774433644828, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 439, ""j"": 553, ""distance"": 2.9034318750572026, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 327, ""j"": 443, ""distance"": 3.219344971615004, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 502, ""j"": 570, ""distance"": 3.1810605885899688, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 204, ""j"": 552, ""distance"": 2.959207398978937, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 465, ""j"": 545, ""distance"": 2.9722325271775607, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
504,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[2683],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 232, ""j"": 576, ""distance"": 2.4787972144980857, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 324, ""j"": 447, ""distance"": 2.9194633338979634, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 447, ""j"": 549, ""distance"": 3.156480124711461, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 34, ""j"": 538, ""distance"": 3.1387637222384304, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
518,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[2735],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 232, ""j"": 576, ""distance"": 3.043452113277978, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 515, ""j"": 574, ""distance"": 3.222930287195879, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 214, ""j"": 574, ""distance"": 2.9815546842374427, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 214, ""j"": 350, ""distance"": 3.189392558339619, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 119, ""j"": 299, ""distance"": 2.898602209053575, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 413, ""j"": 557, ""distance"": 2.9941510801058713, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
528,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[2769],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 365, ""j"": 508, ""distance"": 3.144042815225858, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 224, ""j"": 568, ""distance"": 3.092468702034137, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 338, ""j"": 576, ""distance"": 3.742819225929308, ""threshold_form"": 3.1455, ""threshold_break"": 3.6115000000000004}]"
530,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[2776],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 337, ""j"": 576, ""distance"": 2.9266674243139645, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 224, ""j"": 344, ""distance"": 2.9464702777969976, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 527, ""j"": 538, ""distance"": 3.160420987721984, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 502, ""j"": 570, ""distance"": 3.090922612843057, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
564,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[2915],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""form"", ""i"": 337, ""j"": 576, ""distance"": 2.15838403685052, ""threshold_form"": 2.538, ""threshold_break"": 2.9139999999999997}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 350, ""j"": 515, ""distance"": 2.968328017754241, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 483, ""j"": 550, ""distance"": 2.9437335307049297, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 124, ""j"": 543, ""distance"": 2.9259994310772797, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 74, ""j"": 324, ""distance"": 2.9785353117581352, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 435, ""j"": 550, ""distance"": 3.1622547495112405, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
569,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[2936],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 114, ""j"": 559, ""distance"": 3.1095800698518055, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 465, ""j"": 541, ""distance"": 3.170921120023099, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 104, ""j"": 306, ""distance"": 2.9236949226943283, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 114, ""j"": 297, ""distance"": 2.9867904093987097, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 214, ""j"": 338, ""distance"": 3.2648728665860167, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 435, ""j"": 552, ""distance"": 2.9746293883779504, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 338, ""j"": 576, ""distance"": 2.8866989759197486, ""threshold_form"": 3.1455, ""threshold_break"": 3.6115000000000004}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 428, ""j"": 554, ""distance"": 2.982773229458574, ""threshold_form"": 3.1320000000000006, ""threshold_break"": 3.5960000000000005}]"
602,LAS_Ga_01,LAS_Ga,bare,bare,False,True,[3074],"[""surface_reconstruct""]",[],[],[],[],reaction_only_on_site,strong,"[{""edge_type"": ""slab"", ""action"": ""break"", ""i"": 309, ""j"": 410, ""distance"": 3.174501475013231, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""form"", ""i"": 239, ""j"": 363, ""distance"": 2.9920064941004645, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 239, ""j"": 571, ""distance"": 3.151278543779034, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 338, ""j"": 576, ""distance"": 3.653855356648827, ""threshold_form"": 3.1455, ""threshold_break"": 3.6115000000000004}, {""edge_type"": ""slab"", ""action"": ""break"", ""i"": 459, ""j"": 551, ""distance"": 3.2650326708676793, ""threshold_form"": 2.9970000000000003, ""threshold_break"": 3.4410000000000003}]"
