frame,site_id,site_family,core_members,intrinsic_members,incorporated_members,associated_members,state_members,intrinsic_formula,intrinsic_topology,incorporated_formula,incorporated_topology,associated_formula,associated_topology,state_formula,state_topology,state_label,associated_species_labels,attached_components,descriptors
0,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
1,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
2,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
3,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
4,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
5,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
6,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
7,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
8,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
9,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
10,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
11,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
12,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
13,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
14,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
15,LAS_Ga_01,LAS_Ga,[576],[],[],[],[],bare,bare,bare,bare,bare,bare,bare,bare,bare,[],[],"{""n_core_members"": 1, ""n_intrinsic_members"": 0, ""n_incorporated_members"": 0, ""n_associated_members"": 0, ""n_state_members"": 0, ""n_associated_species"": 0, ""direct_core_contacts"": [], ""intrinsic_formula"": ""bare"", ""intrinsic_topology"": ""bare"", ""incorporated_formula"": ""bare"", ""incorporated_topology"": ""bare"", ""associated_formula"": ""bare"", ""associated_topology"": ""bare"", ""state_formula"": ""bare"", ""state_topology"": ""bare""}"
